SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.9,3.1,1.5,0.1,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
6.3,2.3,4.4,1.3,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.3,2.8,5.1,1.5,Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica
7.7,3.0,6.1,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica
